 Lat,Lon,Cat-0[Clim],Cat-0[ANLG],Cat-1[Clim],Cat-1[ANLG],Cat-2[Clim],Cat-2[ANLG],Cat-3[Clim],Cat-3[ANLG]
13.5,43.2,0.0151,0.0141,0.0012,0.0007,0.0002,0.0001,,
13.6,43.2,0.0153,0.016,0.001,0.001,0.0002,0.0002,,
13.7,43.2,0.0162,0.0169,0.001,0.0011,0.0002,0.0001,,
13.8,43.2,0.0164,0.0182,0.0009,0.0012,0.0002,0.0001,,
13.9,43.2,0.016,0.0184,0.0008,0.0012,0.0001,0.0001,,
14,43.2,0.017,0.0201,0.001,0.0012,0.0001,0.0001,,
14.1,43.2,0.017,0.0213,0.0013,0.0011,0.0001,0.0001,,
14.2,43.2,0.018,0.0224,0.0013,0.0008,0.0002,0,,
14.3,43.2,0.0189,0.0244,0.0014,0.0008,0.0002,0,,
14.4,43.2,0.0186,0.0258,0.0012,0.0009,0.0002,0,,
14.5,43.2,0.0193,0.0274,0.0012,0.0009,0.0002,0,,
14.6,43.2,0.0207,0.0292,0.0013,0.0008,0.0002,0,,
14.7,43.2,0.0207,0.0303,0.0009,0.0007,0.0001,0,,
14.8,43.2,0.022,0.0303,0.0011,0.0007,0.0001,0,,
14.9,43.2,0.0226,0.0321,0.001,0.0006,0.0001,0,,
15,43.2,0.0235,0.0351,0.0009,0.0007,0.0001,0,,
15.1,43.2,0.0238,0.0373,0.0008,0.0009,0,0.0001,,
15.2,43.2,0.0232,0.0379,0.0005,0.0011,0,0.0002,,
15.3,43.2,0.0232,0.0379,0.0006,0.0012,0,0.0002,,
15.4,43.2,0.023,0.0371,0.0006,0.0013,0,0.0002,,
15.5,43.2,0.023,0.0362,0.0005,0.0014,0,0.0002,,
15.6,43.2,0.022,0.0352,0.0006,0.0014,0,0.0002,,
15.7,43.2,0.0212,0.0345,0.0005,0.0012,0,0.0002,,
15.8,43.2,0.0197,0.0324,0.0003,0.0015,0,0.0002,,
15.9,43.2,0.0191,0.0303,0.0002,0.0012,0,0.0002,,
16,43.2,0.0188,0.0269,0.0002,0.0011,0,0.0002,,
16.1,43.2,0.0172,0.0241,0.0002,0.0008,0,0.0001,,
16.2,43.2,0.0145,0.021,0.0001,0.0007,0,0.0001,,
16.3,43.2,0.0131,0.0174,0.0001,0.0004,0,0,,
16.4,43.2,0.0114,0.0151,0.0002,0.0004,0,0,,
16.5,43.2,0.0095,0.0116,0,0.0003,0,0,,
16.6,43.2,0.0067,0.0084,0,0.0002,0,0,,
16.7,43.2,0.0048,0.0065,0,0.0002,0,0,,
16.8,43.2,0.0026,0.0036,0,0.0002,0,0,,
16.9,43.2,0.0012,0.0017,0,0,0,0,,
17,43.2,0.0005,0.0006,0,0,0,0,,
12.2,43.3,0.0005,0.0003,0,0.0001,0,0.0001,,
12.3,43.3,0.0015,0.0013,0.0002,0.0002,0,0.0001,,
12.4,43.3,0.0028,0.0026,0.0003,0.0005,0.0001,0.0002,,
12.5,43.3,0.0039,0.0042,0.0003,0.0007,0.0001,0.0003,,
12.6,43.3,0.0053,0.0054,0.0006,0.0009,0.0002,0.0006,,
12.7,43.3,0.007,0.0064,0.001,0.0012,0.0003,0.0007,,
12.8,43.3,0.0086,0.0081,0.0013,0.0012,0.0005,0.0007,,
12.9,43.3,0.0105,0.0096,0.0014,0.0012,0.0004,0.0007,,
13,43.3,0.0128,0.0109,0.0016,0.0013,0.0006,0.0008,,
13.1,43.3,0.0141,0.0122,0.0016,0.0012,0.0006,0.0007,,
13.2,43.3,0.0153,0.0133,0.0016,0.0016,0.0006,0.0006,,
13.3,43.3,0.016,0.0142,0.0014,0.0015,0.0005,0.0006,,
13.4,43.3,0.0166,0.0152,0.0013,0.0015,0.0004,0.0005,,
13.5,43.3,0.0183,0.0175,0.0015,0.0012,0.0003,0.0002,,
13.6,43.3,0.0182,0.0195,0.0013,0.0012,0.0003,0.0002,,
13.7,43.3,0.0189,0.0207,0.0011,0.0014,0.0002,0.0002,,
13.8,43.3,0.0192,0.0218,0.0013,0.0015,0.0003,0.0002,,
13.9,43.3,0.0198,0.0226,0.0015,0.0016,0.0002,0.0002,,
14,43.3,0.0205,0.0238,0.0015,0.0015,0.0002,0.0001,,
14.1,43.3,0.02,0.0245,0.0016,0.001,0.0002,0.0001,,
